day|type|month|dur|int%|structure
629|atomic|?|?|?|8x10/50
630|interval|32|36|95|5x180/120
631|flux_stages|32|42|70|1x2160/-
632|atomic|?|?|?|5x10/50
633|polarized|32|60|70|1x2700/-
634|interval|32|36|95|8x60/120
635|atomic|?|?|?|6x10/50
636|atomic|?|?|?|7x10/50
637|flux_stages|32|42|70|1x2340/-
638|endurance|32|58|70|1x3480/-
639|atomic|?|?|?|8x10/50
640|interval|32|36|95|6x120/60
641|time_trial|33|10|0|1x600/-
642|atomic|?|?|?|5x12/48
643|polarized|33|60|70|1x1800/-
644|interval|33|36|95|10x120/60
645|atomic|?|?|?|6x12/48
646|atomic|?|?|?|7x12/48
647|flux_stages|33|42|70|1x2340/-
648|endurance|33|60|70|1x3600/-
649|atomic|?|?|?|8x12/48
650|interval|33|36|95|6x180/120
651|flux_stages|33|42|70|1x2520/-
652|atomic|?|?|?|5x12/48
653|polarized|33|60|70|1x2880/-
654|interval|33|36|95|10x60/120
655|atomic|?|?|?|6x12/48
656|atomic|?|?|?|7x12/48
657|flux_stages|33|42|70|1x2700/-
658|endurance|33|60|70|1x3600/-
659|atomic|?|?|?|8x12/48
660|interval|33|36|95|8x180/60
661|time_trial|34|10|0|1x600/-
662|synthesis|34|42|80|6x10/50
663|polarized|34|56|70|1x2340/-
664|flux_stages|34|30|70|1x1440/-
665|synthesis|34|43|80|6x10/50
666|synthesis|34|44|80|6x10/50
667|interval|34|32|85|6x120/60
668|endurance|34|45|70|1x2700/-
669|synthesis|34|45|80|6x10/50
670|flux_stages|34|32|70|1x1620/-
671|interval|34|34|85|8x60/120
672|synthesis|34|46|80|6x10/50
673|polarized|34|58|70|1x2700/-
674|flux_stages|34|34|70|1x1800/-
675|synthesis|34|47|80|6x10/50
676|synthesis|34|48|80|6x10/50
677|interval|34|36|85|4x180/60
678|endurance|34|50|70|1x3000/-
679|synthesis|34|48|80|6x10/50
680|flux_stages|34|36|70|1x1980/-
681|time_trial|35|10|0|1x600/-
682|synthesis|35|48|80|6x12/48
683|polarized|35|60|70|1x2160/-
684|flux_stages|35|38|70|1x1800/-
685|synthesis|35|48|80|6x12/48
686|synthesis|35|48|80|6x12/48
687|interval|35|38|85|7x120/60
